"id","post_id","tag_id","created_at","updated_at"
"1","1","1",NULL,NULL
"2","2","4",NULL,NULL
"3","3","4",NULL,NULL
"4","4","4",NULL,NULL
"5","5","4",NULL,NULL
"6","6","4",NULL,NULL
"7","7","4",NULL,NULL
"8","8","4",NULL,NULL
"9","9","4",NULL,NULL
"10","34","5",NULL,NULL
"11","34","6",NULL,NULL
"12","156","1",NULL,NULL
"13","156","4",NULL,NULL
"14","157","1",NULL,NULL
"15","157","8",NULL,NULL
"16","157","9",NULL,NULL
"17","157","14",NULL,NULL
"18","159","20",NULL,NULL
"19","159","21",NULL,NULL
"20","159","22",NULL,NULL
"21","159","24",NULL,NULL
"22","162","1",NULL,NULL
"23","162","4",NULL,NULL
"24","162","7",NULL,NULL
"25","162","8",NULL,NULL
"26","163","1",NULL,NULL
"27","163","4",NULL,NULL
"28","163","7",NULL,NULL
"29","164","1",NULL,NULL
"30","164","4",NULL,NULL
"31","164","7",NULL,NULL
"32","164","8",NULL,NULL
"33","166","1",NULL,NULL
"34","166","4",NULL,NULL
"35","166","7",NULL,NULL
"36","166","8",NULL,NULL
"37","166","9",NULL,NULL
"38","167","16",NULL,NULL
"39","167","36",NULL,NULL
"40","168","1",NULL,NULL
"41","168","8",NULL,NULL
"42","168","9",NULL,NULL
"43","168","72",NULL,NULL
"44","168","73",NULL,NULL
"45","168","87",NULL,NULL
"46","168","90",NULL,NULL
"47","168","91",NULL,NULL
"48","181","4",NULL,NULL
"49","183","1",NULL,NULL
"50","184","1",NULL,NULL
"51","184","7",NULL,NULL
"52","184","31",NULL,NULL
"53","184","32",NULL,NULL
"54","184","36",NULL,NULL
"55","184","88",NULL,NULL
"56","184","89",NULL,NULL
"57","185","20",NULL,NULL
"58","185","44",NULL,NULL
"59","185","46",NULL,NULL
"60","185","49",NULL,NULL
"61","185","50",NULL,NULL
"62","185","51",NULL,NULL
"63","186","1",NULL,NULL
"64","187","1",NULL,NULL
"65","188","1",NULL,NULL
"66","189","1",NULL,NULL
"67","190","1",NULL,NULL
"68","190","20",NULL,NULL
"69","190","22",NULL,NULL
"70","190","109",NULL,NULL
"71","191","1",NULL,NULL
"72","192","1",NULL,NULL
"73","193","1",NULL,NULL
"74","194","1",NULL,NULL
"75","194","119",NULL,NULL
"76","194","120",NULL,NULL
"77","194","124",NULL,NULL
"78","194","125",NULL,NULL
"79","194","126",NULL,NULL
"80","195","117",NULL,NULL
"81","195","118",NULL,NULL
"82","195","127",NULL,NULL
"83","195","128",NULL,NULL
"84","195","129",NULL,NULL
"85","195","130",NULL,NULL
"86","196","1",NULL,NULL
"87","196","7",NULL,NULL
"88","196","8",NULL,NULL
"89","196","31",NULL,NULL
"90","196","54",NULL,NULL
"91","196","93",NULL,NULL
"92","197","1",NULL,NULL
"93","197","7",NULL,NULL
"94","197","8",NULL,NULL
"95","197","91",NULL,NULL
"96","198","131",NULL,NULL
"97","198","132",NULL,NULL
"98","199","1",NULL,NULL
"99","200","1",NULL,NULL
"100","201","1",NULL,NULL
"101","202","1",NULL,NULL
"102","203","11",NULL,NULL
"103","204","11",NULL,NULL
"104","205","11",NULL,NULL
"105","206","11",NULL,NULL
"106","207","11",NULL,NULL
"107","208","11",NULL,NULL
"108","209","1",NULL,NULL
"109","210","1",NULL,NULL
"110","211","1",NULL,NULL
"111","212","1",NULL,NULL
"112","213","11",NULL,NULL
"113","214","11",NULL,NULL
"114","215","11",NULL,NULL
"115","216","11",NULL,NULL
"116","217","1",NULL,NULL
"117","218","1",NULL,NULL
"118","219","1",NULL,NULL
"119","220","1",NULL,NULL
"120","221","11",NULL,NULL
"121","222","11",NULL,NULL
"122","223","1",NULL,NULL
"123","224","4",NULL,NULL
"124","225","11",NULL,NULL
"125","226","11",NULL,NULL
"126","227","4",NULL,NULL
"127","228","1",NULL,NULL
"128","229","11",NULL,NULL
"129","230","11",NULL,NULL
"130","231","11",NULL,NULL
"131","232","11",NULL,NULL
"132","233","1",NULL,NULL
"133","233","7",NULL,NULL
"134","233","31",NULL,NULL
"135","233","40",NULL,NULL
"136","233","53",NULL,NULL
"137","234","16",NULL,NULL
"138","234","17",NULL,NULL
"139","234","36",NULL,NULL
"140","234","94",NULL,NULL
"141","235","16",NULL,NULL
"142","235","17",NULL,NULL
"143","235","36",NULL,NULL
"144","235","94",NULL,NULL
"145","236","16",NULL,NULL
"146","236","17",NULL,NULL
"147","236","36",NULL,NULL
"148","236","94",NULL,NULL
"149","237","42",NULL,NULL
"150","238","20",NULL,NULL
"151","238","22",NULL,NULL
"152","238","24",NULL,NULL
"153","238","100",NULL,NULL
"154","238","101",NULL,NULL
"155","238","109",NULL,NULL
"156","239","1",NULL,NULL
"157","239","20",NULL,NULL
"158","240","1",NULL,NULL
"159","240","76",NULL,NULL
"160","240","90",NULL,NULL
"161","240","91",NULL,NULL
"162","241","36",NULL,NULL
"163","241","105",NULL,NULL
"164","241","107",NULL,NULL
"165","242","44",NULL,NULL
"166","242","46",NULL,NULL
"167","242","47",NULL,NULL
"168","242","142",NULL,NULL
"169","242","143",NULL,NULL
"170","242","144",NULL,NULL
"171","243","1",NULL,NULL
"172","243","7",NULL,NULL
"173","243","44",NULL,NULL
"174","243","53",NULL,NULL
"175","243","90",NULL,NULL
"176","243","91",NULL,NULL
"177","243","93",NULL,NULL
"178","244","1",NULL,NULL
"179","244","42",NULL,NULL
"180","244","56",NULL,NULL
"181","244","58",NULL,NULL
"182","244","145",NULL,NULL
"183","244","148",NULL,NULL
"184","244","149",NULL,NULL
"185","244","150",NULL,NULL
"186","244","151",NULL,NULL
"187","244","152",NULL,NULL
"188","245","1",NULL,NULL
"189","245","44",NULL,NULL
"190","245","46",NULL,NULL
"191","245","47",NULL,NULL
"192","245","144",NULL,NULL
"193","245","157",NULL,NULL
"194","245","158",NULL,NULL
"195","246","1",NULL,NULL
"196","246","40",NULL,NULL
"197","246","53",NULL,NULL
"198","246","90",NULL,NULL
"199","246","91",NULL,NULL
"200","246","148",NULL,NULL
"201","247","1",NULL,NULL
"202","247","130",NULL,NULL
"203","247","160",NULL,NULL
"204","247","161",NULL,NULL
"205","247","162",NULL,NULL
"206","248","1",NULL,NULL
"207","248","8",NULL,NULL
"208","248","44",NULL,NULL
"209","248","45",NULL,NULL
"210","248","89",NULL,NULL
"211","248","164",NULL,NULL
"212","248","165",NULL,NULL
"213","249","1",NULL,NULL
"214","249","8",NULL,NULL
"215","249","53",NULL,NULL
"216","249","91",NULL,NULL
"217","249","145",NULL,NULL
"218","249","148",NULL,NULL
"219","250","1",NULL,NULL
"220","250","8",NULL,NULL
"221","250","91",NULL,NULL
"222","250","92",NULL,NULL
"223","250","142",NULL,NULL
"224","250","148",NULL,NULL
"225","251","1",NULL,NULL
"226","251","7",NULL,NULL
"227","251","53",NULL,NULL
"228","251","54",NULL,NULL
"229","251","148",NULL,NULL
"230","252","1",NULL,NULL
"231","252","46",NULL,NULL
"232","252","53",NULL,NULL
"233","252","133",NULL,NULL
"234","253","133",NULL,NULL
"235","253","142",NULL,NULL
"236","254","1",NULL,NULL
"237","255","1",NULL,NULL
"238","256","1",NULL,NULL
"239","257","1",NULL,NULL
"240","258","1",NULL,NULL
"241","259","1",NULL,NULL
"242","260","1",NULL,NULL
"243","261","1",NULL,NULL
"244","262","1",NULL,NULL
"245","263","1",NULL,NULL
"246","264","5",NULL,NULL
"247","265","11",NULL,NULL
"248","266","14",NULL,NULL
"249","267","1",NULL,NULL
"250","268","1",NULL,NULL
"251","269","1",NULL,NULL
"252","271","1",NULL,NULL
"253","272","1",NULL,NULL
"254","273","1",NULL,NULL
"255","275","1",NULL,NULL
"256","276","1",NULL,NULL
"257","277","1",NULL,NULL
"258","278","1",NULL,NULL
"259","278","133",NULL,NULL
"260","278","166",NULL,NULL
"261","278","168",NULL,NULL
"262","278","169",NULL,NULL
"263","278","171",NULL,NULL
"264","278","172",NULL,NULL
"265","280","1",NULL,NULL
"266","281","1",NULL,NULL
"267","282","1",NULL,NULL
"268","282","133",NULL,NULL
"269","282","166",NULL,NULL
"270","282","168",NULL,NULL
"271","282","169",NULL,NULL
