"id","name","slug","deleted_at","created_at","updated_at"
"1","MUSIQUE","musique",NULL,"2022-12-29 21:13:06","2022-12-29 21:13:06"
"2","BOURSES","bourses",NULL,"2022-12-29 21:13:06","2022-12-29 21:13:06"
"3","DEVINETTES","devinettes",NULL,"2022-12-29 21:13:06","2022-12-29 21:13:06"
"4","REPORTAGE","reportage",NULL,"2022-12-29 21:17:35","2022-12-29 21:17:35"
"5","KROMOZOM L'ARTISTE","kromozom-lartiste",NULL,"2023-01-17 18:33:45","2023-01-17 18:33:45"
"6","EDABO","edabo",NULL,"2023-01-17 18:33:45","2023-01-17 18:33:45"
"7","CONCERT","concert",NULL,"2023-01-27 17:30:19","2023-01-27 17:30:19"
"8","SPECTACLE","spectacle",NULL,"2023-01-27 17:30:19","2023-01-27 17:30:19"
"9","FESTIVAL","festival",NULL,"2023-01-27 17:30:19","2023-01-27 17:30:19"
"10","SHOWCASE","showcase",NULL,"2023-01-27 17:30:19","2023-01-27 17:30:19"
"11","HUMOUR","humour",NULL,"2023-01-27 17:31:30","2023-01-27 17:31:30"
"12","STAND UP","stand-up",NULL,"2023-01-27 17:31:30","2023-01-27 17:31:30"
"13","VANNES","vannes",NULL,"2023-01-27 17:31:30","2023-01-27 17:31:30"
"14","COMEDIE","comedie",NULL,"2023-01-27 17:31:30","2023-01-27 17:31:30"
"15","CINEMA","cinema",NULL,"2023-01-27 17:31:30","2023-01-27 17:31:30"
"16","SPORTS","sports",NULL,"2023-01-27 17:40:05","2023-02-02 19:06:53"
"17","FOOTBALL","football",NULL,"2023-01-27 17:40:05","2023-01-27 17:40:05"
"18","BASKETBALL","basketball",NULL,"2023-01-27 17:40:05","2023-01-27 17:40:05"
"19","HANDBALL","handball",NULL,"2023-01-27 17:40:05","2023-01-27 17:40:05"
"20","MODE","mode",NULL,"2023-01-27 17:43:46","2023-01-27 17:43:46"
"21","FASHION","fashion",NULL,"2023-01-27 17:43:46","2023-01-27 17:43:46"
"22","DEFILE DE MODE","defile-de-mode",NULL,"2023-01-27 17:43:46","2023-01-27 17:43:46"
"23","TOP MODEL","top-model",NULL,"2023-01-27 17:43:46","2023-01-27 17:43:46"
"24","MODEL PHOTO","model-photo",NULL,"2023-01-27 17:43:46","2023-01-27 17:43:46"
"25","MISS","miss",NULL,"2023-01-27 17:43:46","2023-01-27 17:43:46"
"26","CONCOURS DE BEAUTE","concours-de-beaute",NULL,"2023-01-27 17:43:46","2023-01-27 17:43:46"
"27","LECTURE","lecture",NULL,"2023-01-27 17:43:46","2023-01-27 17:43:46"
"28","LITTERATURE","litterature",NULL,"2023-01-27 17:43:46","2023-01-27 17:43:46"
"29","LIVRE","livre",NULL,"2023-01-27 17:43:46","2023-01-27 17:43:46"
"30","HUMORISTE","humoriste",NULL,"2023-01-27 17:44:10","2023-01-27 17:44:10"
"31","JAZZ","jazz",NULL,"2023-01-27 18:16:56","2023-01-27 18:16:56"
"32","COULEUR","couleur",NULL,"2023-01-27 18:16:56","2023-01-27 18:16:56"
"33","MISS ESPOIR","miss-espoir",NULL,"2023-01-27 18:16:56","2023-01-27 18:16:56"
"34","RICHARD FLASH","richard-flash",NULL,"2023-01-27 18:16:56","2023-01-27 18:16:56"
"35","KIDS","kids",NULL,"2023-01-27 18:16:56","2023-01-27 18:16:56"
"36","COTONOU","cotonou",NULL,"2023-01-27 18:16:56","2023-01-27 18:16:56"
"37","PALAIS DES CONGRÈS","palais-des-congres",NULL,"2023-01-27 18:16:56","2023-01-27 18:16:56"
"38","PLACE DE L'AMAZONE","place-de-lamazone",NULL,"2023-01-27 18:16:56","2023-01-27 18:16:56"
"39","PLAGE FIDJROSSÈ","plage-fidjrosse",NULL,"2023-01-27 18:16:56","2023-01-27 18:16:56"
"40","ARTISTE CHANTEUR","artiste-chanteur",NULL,"2023-01-27 18:20:00","2023-01-27 18:20:00"
"41","ARTISTE CHANTEUSE","artiste-chanteuse",NULL,"2023-01-27 18:20:00","2023-01-27 18:20:00"
"42","RAPPEUR","rappeur",NULL,"2023-01-27 18:20:00","2023-01-27 18:20:00"
"43","KEMTAAN","kemtaan",NULL,"2023-01-27 18:20:00","2023-01-27 18:20:00"
"44","ART","art",NULL,"2023-01-27 18:20:00","2023-01-27 18:20:00"
"45","CULTURE","culture",NULL,"2023-01-27 18:20:00","2023-01-27 18:20:00"
"46","PEINTURE","peinture",NULL,"2023-01-27 18:20:00","2023-01-27 18:20:00"
